trial_number,value,state,max_depth,min_child_weight,gamma,learning_rate,n_estimators,subsample,colsample_bytree,colsample_bylevel,reg_alpha,reg_lambda
55,12.98899738949789,COMPLETE,7,2,1.4456974809684247,0.050825502297922945,247,0.9501115619667208,0.950133096528254,0.6252485287939609,2.9364579176939514,0.0069863432074735304
56,12.787894852363783,COMPLETE,7,3,1.7423876278419392,0.03755860495320706,159,0.8739002204686659,0.8726866820104637,0.7550241458686939,4.080068273592204,3.392108702129235
57,12.817556867208724,COMPLETE,6,3,1.673237558194026,0.09131169161024587,154,0.8791164604896257,0.8375145551434637,0.7541130846652461,4.084902713490237,3.7236518527305784
58,12.876389142737287,COMPLETE,4,2,0.8771467682423826,0.06863841024886146,133,0.7994286369827552,0.8691073139318636,0.8932002276918941,4.728335761653582,3.422918057710703
59,14.623872907282623,COMPLETE,7,1,0.6026578891476637,0.025649016161711627,64,0.8294229721882765,0.8841167185838147,0.8382741099748726,3.149469549968126,7.233199337690538
60,12.839623473445787,COMPLETE,10,3,0.061980193365285374,0.038312008701419334,112,0.7565921886242323,0.9112133451964309,0.7746407285619826,5.454754003335138,2.8619615552869972
61,12.833486222964208,COMPLETE,7,4,1.8219440962649345,0.04897734527836651,190,0.928671371131964,0.9987749986759283,0.9352223684245756,4.046264191843655,4.3596559437478835
62,12.913856328176623,COMPLETE,8,5,2.492323236339937,0.05982680560749259,155,0.5505064091803205,0.9470469320402689,0.6513853859025784,9.58480752539976,1.8206480103905314
63,12.811500530404798,COMPLETE,7,3,1.5214829850249945,0.032885948982375186,173,0.9035923975232473,0.9696781623993707,0.6874654759863448,6.599806666510269,1.2383708218473755
64,12.823914546412464,COMPLETE,6,3,1.068121850183214,0.03285091690562107,169,0.899206602457579,0.9657309079624921,0.6769388536186599,6.47957541473529,1.3668555881270013
65,12.845033721158272,COMPLETE,7,2,1.48307742536953,0.03972023981190929,212,0.8572509717034001,0.921077270154668,0.6913980924992468,4.9192200765638825,0.781287982111818
66,12.789050095769849,COMPLETE,7,1,1.3063832930709798,0.04494515947043746,140,0.9213250723031261,0.9020760255325615,0.9996294803202427,6.026645500982481,2.400060029107413
67,12.89625890107301,COMPLETE,9,1,1.25770373805805,0.05734809976450516,138,0.8102952953377172,0.8594886637330232,0.9934905850678128,5.844033163669489,3.377834250731498
68,12.805332471770368,COMPLETE,6,1,2.049663077228265,0.04404253954957563,146,0.8757875468209412,0.8971327250735027,0.9520562062395085,5.483373560025459,2.2921433399403623
69,12.833553423721723,COMPLETE,6,1,0.287793886815773,0.04590724774661026,146,0.6245692884509213,0.8028790102651457,0.9715357869293145,4.3017546090470695,2.264617156115321
70,12.870299299862314,COMPLETE,5,1,1.775391360008038,0.15668331885767103,118,0.8477986813857415,0.8919938935990129,0.9562425657866716,5.436997226461788,2.3230405962138274
71,12.883402297032838,COMPLETE,6,2,2.8139234466262364,0.028252542299582562,126,0.9188396672534073,0.9330317663606196,0.9670352502484869,7.064611706903464,2.98283443023765
72,12.82593317875818,COMPLETE,7,1,2.1485841096292297,0.06386864451126252,158,0.8750508155914394,0.8792852216959196,0.9479705020847355,6.207114097450731,9.045919459381066
73,12.799725116767691,COMPLETE,8,1,2.031739783095452,0.04566914449536262,147,0.8891432361925652,0.9024606201085095,0.9976521215010731,5.930378286327032,4.056381064268418
74,12.781939980770849,COMPLETE,8,1,2.2904411413184316,0.045176755085662816,145,0.8918454484927554,0.9042255364224883,0.9956722891838767,5.953692028272965,4.123727343051576
75,12.820189185166452,COMPLETE,9,1,2.3889560403880123,0.04478792842238625,146,0.8714014012233315,0.9092713020710235,0.997084739538298,5.912802692175007,5.146773540359368
76,12.870859056822813,COMPLETE,8,1,2.007556219830147,0.07535869384119302,132,0.8884916428067932,0.8188036031526128,0.9819249135591784,5.490721634169047,4.062908125723723
77,12.844319129619052,COMPLETE,8,2,2.2881721483285364,0.05494110254075273,139,0.8423843825080078,0.8505746673816563,0.9628749684421415,6.345343078413949,4.6993556923250654
78,12.97821844294494,COMPLETE,9,1,2.6243157994735835,0.0358840323914474,80,0.8140007792689208,0.878984977622084,0.9203898694587049,6.771310826607122,4.002404366679221
